"lessonNumber","lessonKey","section","syllabusId","objectiveId","atomicObjective","defaultVisibleTeachingEvidence","materialTypes","materialTitles","questionIds","pastPaperReference","reviewStatus","desktopEvidence","mobileEvidence","confidence"
"001","S1-L01","1","S1.01","S1.01.A01","Show understanding of binary magnitudes and the difference between binary prefixes and decimal prefixes","Binary and decimal prefixes use different scales","reviewed-visual","The storage ladder","V3-Q-L001-01 | V3-Q-L001-02","9618/13/S/24 Q1(a) | Cambridge 9618 syllabus · S1.01","reviewed","audits/course-v3-visual-evidence/full-pages/desktop/lesson-001.png","audits/course-v3-visual-evidence/full-pages/mobile-390/lesson-001.png","high"
"001","S1-L01","1","S1.01","S1.01.A02","Understand the difference between and use: kibi and kilo; mebi and mega; gibi and giga; tebi and tera","Binary and decimal prefixes use different scales","reviewed-visual","The storage ladder","V3-Q-L001-01 | V3-Q-L001-02 | V3-Q-L001-03","9618/13/S/24 Q1(a) | Cambridge 9618 syllabus · S1.01 | Cambridge 9618 syllabus · S1.01","reviewed","audits/course-v3-visual-evidence/full-pages/desktop/lesson-001.png","audits/course-v3-visual-evidence/full-pages/mobile-390/lesson-001.png","high"
"002","S1-L02","1","S1.02","S1.02.A01","Show understanding of different number systems","Bases and signed representations answer different questions","reviewed-visual","Three ways to represent negative binary values","V3-002-S1.02-CHECK","","reviewed","audits/course-v3-visual-evidence/full-pages/desktop/lesson-002.png","audits/course-v3-visual-evidence/full-pages/mobile-390/lesson-002.png","high"
"002","S1-L02","1","S1.02","S1.02.A02","Use the binary, denary, hexadecimal number bases and Binary Coded Decimal (BCD) and one’s and two’s complement representation for binary numbers","Bases and signed representations answer different questions","reviewed-visual","Three ways to represent negative binary values","V3-Q-L002-01 | V3-Q-L002-02 | V3-Q-L002-03","9618/13/W/25 Q2(a) | Cambridge 9618 syllabus · S1.02 | Cambridge 9618 syllabus · S1.03","reviewed","audits/course-v3-visual-evidence/full-pages/desktop/lesson-002.png","audits/course-v3-visual-evidence/full-pages/mobile-390/lesson-002.png","high"
"002","S1-L02","1","S1.03","S1.03.A01","Show understanding of different number systems","Choose the conversion method from the target","reviewed-visual","Two conversion directions, two reliable methods","V3-002-S1.03-CHECK","","reviewed","audits/course-v3-visual-evidence/full-pages/desktop/lesson-002.png","audits/course-v3-visual-evidence/full-pages/mobile-390/lesson-002.png","high"
"002","S1-L02","1","S1.03","S1.03.A02","Convert an integer value from one number base/representation to another","Choose the conversion method from the target","reviewed-visual","Two conversion directions, two reliable methods","V3-Q-L002-01","Cambridge 9618 syllabus · S1.02","reviewed","audits/course-v3-visual-evidence/full-pages/desktop/lesson-002.png","audits/course-v3-visual-evidence/full-pages/mobile-390/lesson-002.png","high"
"003","S1-L03","1","S1.04","S1.04.A01","Perform binary addition and subtraction","Signed arithmetic keeps one fixed-width bit pattern","reviewed-visual","8-bit addition method","V3-Q-L003-02 | V3-Q-L003-03","9618/13/S/25 Q7(c) | Cambridge 9618 syllabus · S1.04","reviewed","audits/course-v3-visual-evidence/full-pages/desktop/lesson-003.png","audits/course-v3-visual-evidence/full-pages/mobile-390/lesson-003.png","high"
"003","S1-L03","1","S1.04","S1.04.A02","Using positive and negative binary integers","Signed arithmetic keeps one fixed-width bit pattern","reviewed-visual","8-bit addition method","V3-Q-L003-02 | V3-Q-L003-03","9618/13/S/25 Q7(c) | Cambridge 9618 syllabus · S1.04","reviewed","audits/course-v3-visual-evidence/full-pages/desktop/lesson-003.png","audits/course-v3-visual-evidence/full-pages/mobile-390/lesson-003.png","high"
"003","S1-L03","1","S1.05","S1.05.A01","Perform binary addition and subtraction","Overflow means the true result does not fit","reviewed-visual","Unsigned 8-bit overflow","V3-Q-L003-02 | V3-Q-L003-03","9618/13/S/25 Q7(c) | Cambridge 9618 syllabus · S1.04","reviewed","audits/course-v3-visual-evidence/full-pages/desktop/lesson-003.png","audits/course-v3-visual-evidence/full-pages/mobile-390/lesson-003.png","high"
"003","S1-L03","1","S1.05","S1.05.A02","Show understanding of how overflow can occur","Overflow means the true result does not fit","reviewed-visual","Unsigned 8-bit overflow","V3-Q-L003-01 | V3-Q-L003-02 | V3-Q-L003-03","9618/13/S/25 Q7(c) | Cambridge 9618 syllabus · S1.04 | Cambridge 9618 syllabus · S1.05","reviewed","audits/course-v3-visual-evidence/full-pages/desktop/lesson-003.png","audits/course-v3-visual-evidence/full-pages/mobile-390/lesson-003.png","high"
