lesson,visual_id,section_id,method,topic,required_facts,source,status,content_hash
001,explanation-knowledge-img-1,explanation-knowledge,Raster image,Academic knowledge-point infographic explaining The storage ladder with a structured visual model.,bit 0 or 1 nibble 4 bits byte 8 bits = 2 nibbles KiB 1024 bytes MiB 1024 KiB GiB 1024 MiB TiB 1024 GiB,Lesson content and applicable syllabus row,NeedsFactReview,0eb0e6bebe8bdb48bb7b54eed34e267517cfb1451ee60436a6f761d2dc6ac009
002,bitVisual,converter,HTML/CSS,Interactive place-value visual,Interactive place-value visual,Lesson content and applicable syllabus row,NeedsFactReview,caa5cd27f5c8b9c1fd6908e0fc71401fa957d7fb33e1ffc8ca196a55438dcfb5
002,explanation-knowledge-img-1,explanation-knowledge,Raster image,Academic knowledge-point infographic explaining 8-bit binary place values with a structured visual model.,Bit position 7 6 5 4 3 2 1 0 Place value 128 64 32 16 8 4 2 1 Example bits 1 0 1 1 0 1 1 0 Count? yes no yes yes no yes yes no 10110110₂ = 128 + 32 + 16 + 4 + 2 = 182₁₀,Lesson content and applicable syllabus row,NeedsFactReview,e72b779b5b32b9ad37a30f093d0d7fcd1213c3fe91417816da85568f05afdd21
002,explanation-methods-img-1,explanation-methods,Raster image,"Academic knowledge-point infographic explaining Two conversion directions, two reliable methods with a structured visual model.","Binary to denary Write the place-value row: 128, 64, 32, 16, 8, 4, 2, 1. Place the binary digits under the row. Add only the values with a 1 above them. Label the answer as denary. Denary to binary Start at 128 and move right. Write 1 if the place value fits into the remaining number. Subtract that place value when a 1 is used. Write 0 when it does not fit.",Lesson content and applicable syllabus row,NeedsFactReview,686821bdd2b834bdb675d840706cde5e80809da815fcf080a993e28cdcb83895
002,explanation-range-img-1,explanation-range,Raster image,Academic knowledge-point infographic explaining Range and leading zeros with a structured visual model.,Smallest 8-bit value 00000000₂ = 0₁₀ All place values are off. Largest 8-bit value 11111111₂ = 255₁₀ All place values are on: 128 + 64 + 32 + 16 + 8 + 4 + 2 + 1. Leading zeros 00000111₂ = 111₂ = 7₁₀ Leading zeros preserve fixed bit width; they do not change the value.,Lesson content and applicable syllabus row,NeedsFactReview,4b918a15c3aa6d6501865c7e8b4aacd9dd148a8519be27ba9b890497f06b9c7a
003,explanation-digits-img-1,explanation-digits,Raster image,Academic knowledge-point infographic explaining Hexadecimal digits: 0-9 then A-F with a structured visual model.,nibble 4-bit group,Lesson content and applicable syllabus row,NeedsFactReview,5c2252c8aea315ac002a9caad75dafc0be62aa817723668b3b0420a6e5ef26ca
003,explanation-grouping-img-1,explanation-grouping,Raster image,Academic knowledge-point infographic explaining One hex digit represents one nibble with a structured visual model.,"Why four bits? Four bits can represent 16 patterns: from 0000₂ to 1111₂. Hexadecimal has exactly 16 digits: 0 to F. Binary to hex Group the binary value into nibbles from the right. Convert each nibble separately. Hex to binary Replace each hex digit with its 4-bit binary nibble. Keep all four bits for each digit. 1101₂ = D₁₆ and 0110₂ = 6₁₆, so 1101 0110₂ = D6₁₆.",Lesson content and applicable syllabus row,NeedsFactReview,7b27ce461ce62bd56a03b3302fea3a02e1a13973517f6a999a43f03265037b36
003,explanation-padding-img-1,explanation-padding,Raster image,Academic knowledge-point infographic explaining Padding with leading zeros with a structured visual model.,"When padding is needed If the leftmost group has fewer than four bits, add leading zeros to complete the nibble. 101101₂ → 0010 1101₂ → 2D₁₆ The value does not change because leading zeros do not add active place values. Base labels 10 could mean denary ten or binary two. Use base labels when the notation could be ambiguous.",Lesson content and applicable syllabus row,NeedsFactReview,79d7f40743af574010e802ad694527af08b8c9226a67d80e9e88995cdb9f9fa3
003,nibbleVisual,converter,HTML/CSS,Nibble grouping visual,Nibble grouping visual,Lesson content and applicable syllabus row,NeedsFactReview,f0eeffc02c57adcbf66e3d093499d58b6cc0124510cf6bfbf6e290440d9eae07
004,additionVisual,adder,HTML/CSS,Binary addition visual,Binary addition visual,Lesson content and applicable syllabus row,NeedsFactReview,dbf5e28ddbe0e9ee2d642f6d8670d5977d9810889ebd1cd2144d0d747db9e91a
004,explanation-method-img-1,explanation-method,Raster image,Academic knowledge-point infographic explaining 8-bit addition method with a structured visual model.,"Align the two 8-bit operands and start at the rightmost column. Add both bits and any carry-in; write the result bit and carry 1 left when required. For unsigned addition, a carry-out beyond bit 7 means the true sum needs more than 8 bits. Without a carry-out, the stored 8-bit result remains within the unsigned range 0 to 255. A leftmost result bit of 1 is not by itself evidence of unsigned overflow.",Lesson content and applicable syllabus row,NeedsFactReview,a2bd3fb011b5df401b14b1f63ec65c9e74133147097477459b0cb14badc951e5
