lesson,visual_id,method,asset_display,semantic_pass_1,semantic_pass_2,semantic_status,content_hash,release_status
001,explanation-knowledge-img-1,Raster image,Pass,NotApplicable,NotApplicable,ApprovedNonRasterOrLegacyAsset,0eb0e6bebe8bdb48bb7b54eed34e267517cfb1451ee60436a6f761d2dc6ac009,Approved
002,bitVisual,HTML/CSS,Pass,NotApplicable,NotApplicable,ApprovedNonRasterOrLegacyAsset,caa5cd27f5c8b9c1fd6908e0fc71401fa957d7fb33e1ffc8ca196a55438dcfb5,Approved
002,explanation-knowledge-img-1,Raster image,Pass,NotApplicable,NotApplicable,ApprovedNonRasterOrLegacyAsset,e72b779b5b32b9ad37a30f093d0d7fcd1213c3fe91417816da85568f05afdd21,Approved
002,explanation-methods-img-1,Raster image,Pass,NotApplicable,NotApplicable,ApprovedNonRasterOrLegacyAsset,686821bdd2b834bdb675d840706cde5e80809da815fcf080a993e28cdcb83895,Approved
002,explanation-range-img-1,Raster image,Pass,NotApplicable,NotApplicable,ApprovedNonRasterOrLegacyAsset,4b918a15c3aa6d6501865c7e8b4aacd9dd148a8519be27ba9b890497f06b9c7a,Approved
002,explanation-systems-img-1,Raster image,Pass,NotApplicable,NotApplicable,ApprovedNonRasterOrLegacyAsset,65b4862ba2d9d28bd8bced796f285f8f9d1e2b35c9689399bcc7be9e0155c236,Approved
003,explanation-digits-img-1,Raster image,Pass,NotApplicable,NotApplicable,ApprovedNonRasterOrLegacyAsset,5c2252c8aea315ac002a9caad75dafc0be62aa817723668b3b0420a6e5ef26ca,Approved
003,explanation-grouping-img-1,Raster image,Pass,NotApplicable,NotApplicable,ApprovedNonRasterOrLegacyAsset,7b27ce461ce62bd56a03b3302fea3a02e1a13973517f6a999a43f03265037b36,Approved
003,explanation-padding-img-1,Raster image,Pass,NotApplicable,NotApplicable,ApprovedNonRasterOrLegacyAsset,79d7f40743af574010e802ad694527af08b8c9226a67d80e9e88995cdb9f9fa3,Approved
003,nibbleVisual,HTML/CSS,Pass,NotApplicable,NotApplicable,ApprovedNonRasterOrLegacyAsset,f0eeffc02c57adcbf66e3d093499d58b6cc0124510cf6bfbf6e290440d9eae07,Approved
004,additionVisual,HTML/CSS,Pass,NotApplicable,NotApplicable,ApprovedNonRasterOrLegacyAsset,dbf5e28ddbe0e9ee2d642f6d8670d5977d9810889ebd1cd2144d0d747db9e91a,Approved
