lesson,section_order,section_id,delivery_group,delivery_role,classroom_activity,minutes,title,status,content_hash
001,1,stage2-completion,stage2-completion,CORE,TEACH,,Binary and decimal magnitude prefixes,Classified,e92c4ec563a3fb50f7faea8fdcf2d807a4c6911878d0ef2fcc2e0557f7cd1024
001,2,explanation-knowledge,knowledge,CORE,TEACH,,The storage ladder,Classified,b83d36665da40271f1d32141049edbc7964975ca8963c9e2c472f9aa9099090d
001,3,stage2-practice,stage2-practice,CORE,PRACTISE,,Binary and decimal magnitude prefixes: apply and assess,Classified,9380280464cffa44ac20da55179670633f742ff24507ec9fb6d3715528f8571a
001,4,overview,remediation-v2-stage3-optional-001,OPTIONAL,EXTEND,,Bit patterns acquire meaning from their representation.,Classified,aa74b770b7238e1e4546c58b432e74a96a857dc47772df31bb29fb7180bb4e02
001,5,delivery-02,remediation-v2-stage3-optional-001,OPTIONAL,EXTEND,,Why this matters,Classified,6f83a75000d545da121a26a3daaa373cf466219dd040af8565cef0ffe0107dce
001,6,hook,remediation-v2-stage3-optional-001,OPTIONAL,EXTEND,,What does the bit pattern `00000111` represent?,Classified,90ce8b60e466b8fde7e85990770db779a65eddf4d7d1cc421b4e2a0658427a37
001,7,delivery-04,remediation-v2-stage3-optional-001,OPTIONAL,EXTEND,,Common error,Classified,0b0f391072336f6a59175937b9cd75ea506565a543781a70a51f7a48ed9a9049
001,8,knowledge,remediation-v2-stage3-optional-001,OPTIONAL,EXTEND,,The storage ladder,Classified,e116ffa86ae3e99309286a39b0970996336e76574ea5a52a18a37bc34ccf8a0f
001,9,delivery-06,remediation-v2-stage3-optional-001,OPTIONAL,EXTEND,,"Binary magnitudes: powers of two, not a decorative 1024",Classified,81533f0e5225369c97d7fb9ba4399ed7eb6c1a93842abb6466d1197dbd989c91
001,10,delivery-07,remediation-v2-stage3-optional-001,OPTIONAL,EXTEND,,Decimal prefixes vs binary prefixes,Classified,88b8f5ac514a7480e284bdbaaacd2810aaf0521ec13f84e3e37a3cc99acb0b15
001,11,delivery-08,remediation-v2-stage3-optional-001,OPTIONAL,EXTEND,,Why this matters,Classified,288437b2e20e4110857e4e8ba402c92ea8bf33e7c069cb78f4671293e391e28d
001,12,converter,remediation-v2-stage3-optional-001,OPTIONAL,EXTEND,,Storage converter,Classified,ab8ceff61d3842b3f7aeb13fd9f4cc79c845eb6167489f6b04ebfb38bddf82e9
001,13,examples,remediation-v2-stage3-optional-001,OPTIONAL,EXTEND,,Worked examples,Classified,5a40b76fa57b06cc2edd8dda234fcab789d9f51975821c09b4d3e41621d4c71a
001,14,delivery-11,remediation-v2-stage3-optional-001,OPTIONAL,EXTEND,,Common error,Classified,0ef5265e9ad369654e6ed87ef0517c6b8c5b3beee3ff05dd7fece5b9bdb9847c
001,15,practice,remediation-v2-stage3-optional-001,OPTIONAL,EXTEND,,Practice with instant checking,Classified,958021402fb19495f5d7e7838bc6f935e50cb888198d7ed8b0c0c136b6219869
001,16,delivery-13,remediation-v2-stage3-optional-001,OPTIONAL,EXTEND,,Identify and correct the error,Classified,d2a19514a2d3b9157a3b3bc302ddbf3c2dce42f7fbecb0cd4896c818f5f60496
001,17,exam,remediation-v2-stage3-optional-001,OPTIONAL,EXTEND,,Original exam-style questions,Classified,0bee200ef08c0dfd275390458e1a9bd64df2a1f0957167d48b52cbd3f4f625df
001,18,delivery-15,remediation-v2-stage3-optional-001,OPTIONAL,EXTEND,,Why this matters,Classified,ffb41027d6a0efd617c30f7186cae055e65415067cd1ce46e1f4e7628ab9ace7
001,19,summary,remediation-v2-stage3-optional-001,OPTIONAL,EXTEND,,Summary of required knowledge,Classified,c7ea57e655656715c932fe3c9df44e6b770a6d93c81687023df401ec8198ba62
001,20,homework,homework,AFTER_CLASS,HOMEWORK,,Homework tasks,Classified,392759f1df1aad795dc8bac582e1d1c89808ffdaaa9abcecbe62bc024b5c1a56
001,21,delivery-19,remediation-v2-stage3-optional-001,OPTIONAL,EXTEND,,Check only after attempting,Classified,8f1699ea0350eabc6a605d3d60e35734289b1df98c3ee470ee336add810e3436
002,1,stage2-completion,stage2-completion,CORE,TEACH,,Integer conversion between binary and denary,Classified,ead9e31fbf6731a91aa991e42eaf6e0263c4bf9c304568f497bf30181227bfc4
002,2,explanation-methods,methods,CORE,TEACH,,"Two conversion directions, two reliable methods",Classified,7888b540445f558e27f84c39debbd87745be8ee1c8bb2336623bca8a6c033586
002,3,stage2-practice,stage2-practice,CORE,PRACTISE,,Integer conversion between binary and denary: apply and assess,Classified,d433de783d8e0714152ca9066514c7596c992f3bb574dee1ea6d610158ae4255
002,4,overview,remediation-v2-stage3-optional-002,OPTIONAL,EXTEND,,Binary is place value with only two digits.,Classified,4f491adbf6f43e6379f2f6107f2be200e908ec9441841dc6f0964edf9eece270
002,5,delivery-02,remediation-v2-stage3-optional-002,OPTIONAL,EXTEND,,Why this matters,Classified,6cc72ea4e7a16a5d178248b876e5730f27a03ea185fe20be5653849e3d52f37e
002,6,hook,remediation-v2-stage3-optional-002,OPTIONAL,EXTEND,,Is `10110110₂` closer to 100 or 200?,Classified,5150b51518e844cd61c6d82fa92826c34cf9f880cb09ef40e8b9506e0938d541
002,7,knowledge,remediation-v2-stage3-optional-002,OPTIONAL,EXTEND,,8-bit binary place values,Classified,73ea98c5acc0feb94910fdfa17ef5fd58a02765f8a73de4b31babef509b68856
002,8,explanation-knowledge,remediation-v2-stage3-optional-002,OPTIONAL,EXTEND,,8-bit binary place values,Classified,035320af24f0cd4b042cef82fef97f2428cc88155ca257501ffd2be385dd7463
002,9,methods,remediation-v2-stage3-optional-002,OPTIONAL,EXTEND,,"Two conversion directions, two reliable methods",Classified,00059c82c58a696793f005f179941269c58151d3821967b0a354aea8026a7bac
002,10,delivery-06,remediation-v2-stage3-optional-002,OPTIONAL,EXTEND,,Common error,Classified,4aa30bd40c2d9778b9a27c83a983aa938f3451bbef80df5a87e799e9b48c8969
002,11,range,remediation-v2-stage3-optional-002,OPTIONAL,EXTEND,,Range and leading zeros,Classified,da7af5a9630eab22e8b735f8460a470ea0d24c38c51043a67b27556e45679ade
002,12,explanation-range,remediation-v2-stage3-optional-002,OPTIONAL,EXTEND,,Range and leading zeros,Classified,eb9ca8e8da5dc54c8a85f842bb45b71576e39bfbb196498b7620879b166b0ea2
002,13,converter,remediation-v2-stage3-optional-002,OPTIONAL,EXTEND,,8-bit binary and denary converter,Classified,838a218f078ff95de8f5d9d8b1b70253676845ad1c01def5b75fe95e3f4e321a
002,14,examples,remediation-v2-stage3-optional-002,OPTIONAL,EXTEND,,Worked examples,Classified,f3c4d2ae558030492114d9f23032e03adb8f3fbaf7f0068e4431346d22778a59
002,15,practice,remediation-v2-stage3-optional-002,OPTIONAL,EXTEND,,Practice with instant checking,Classified,958021402fb19495f5d7e7838bc6f935e50cb888198d7ed8b0c0c136b6219869
002,16,delivery-11,remediation-v2-stage3-optional-002,OPTIONAL,EXTEND,,Identify and correct the error,Classified,40032f3506bafdec2fce676be86adaa1986a312e918485c67d10635a3d3464d2
